task_name,source,category,preferred_interfaces,required_information_type,likely_failure_under_fixed_action_space,notes
craft_item:activator_rail,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:andesite,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:andesite_slab,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:andesite_stairs,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:anvil,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,inventory_or_tool_state;visual_target_localization,mid_level_skill_missing_parameter,Interaction tasks depend on selecting the correct object and passing the right action parameters.
craft_item:apple,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:armor_stand,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:arrow,CrossAgent/STRL/data_processor/utils/task_list.json; CrossAgent/STRL/data_processor/task_suc_rate.json; rollout_debug directory names,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:baked_potato,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,"Smelting/cooking combines recipe, fuel, station use, and visible furnace/campfire interaction."
craft_item:barrel,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:beacon,CrossAgent/STRL/data_processor/task_suc_rate.json,long_horizon_obtain,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;recipe_or_prerequisite;inventory_or_tool_state;memory_or_failure_trace;mixed,dynamic_switching_needed,"Long-horizon obtain tasks span prerequisites, search, crafting, tool use, and execution."
craft_item:beehive,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:beetroot_soup,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:birch_boat,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:birch_button,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,inventory_or_tool_state;visual_target_localization,mid_level_skill_missing_parameter,Interaction tasks depend on selecting the correct object and passing the right action parameters.
craft_item:birch_door,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:birch_fence,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:birch_fence_gate,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:birch_planks,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:birch_pressure_plate,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:birch_sign,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:birch_slab,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:birch_stairs,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:birch_trapdoor,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:birch_wood,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:black_bed,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:black_carpet,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:black_dye,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:black_glazed_terracotta,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:black_stained_glass,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,"Smelting/cooking combines recipe, fuel, station use, and visible furnace/campfire interaction."
craft_item:black_stained_glass_pane,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,"Smelting/cooking combines recipe, fuel, station use, and visible furnace/campfire interaction."
craft_item:black_wool,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:blast_furnace,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,"Smelting/cooking combines recipe, fuel, station use, and visible furnace/campfire interaction."
craft_item:blaze_powder,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:blue_banner,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:blue_bed,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:blue_concrete_powder,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:blue_dye,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:blue_stained_glass_pane,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,"Smelting/cooking combines recipe, fuel, station use, and visible furnace/campfire interaction."
craft_item:blue_wool,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:bone_block,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:bone_meal,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:book,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:bookshelf,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:bow,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:bowl,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:bread,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:brewing_stand,CrossAgent/STRL/data_processor/task_suc_rate.json,long_horizon_obtain,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;recipe_or_prerequisite;inventory_or_tool_state;memory_or_failure_trace;mixed,dynamic_switching_needed,"Long-horizon obtain tasks span prerequisites, search, crafting, tool use, and execution."
craft_item:brick,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,"Smelting/cooking combines recipe, fuel, station use, and visible furnace/campfire interaction."
craft_item:brick_slab,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:bricks,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,"Smelting/cooking combines recipe, fuel, station use, and visible furnace/campfire interaction."
craft_item:brown_bed,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
craft_item:brown_carpet,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:brown_concrete_powder,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:brown_dye,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:bucket,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:cake,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:campfire,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:carrot_on_a_stick,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:cartography_table,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:cauldron,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:chain,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:chainmail_boots,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:chainmail_chestplate,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,inventory_or_tool_state;visual_target_localization,mid_level_skill_missing_parameter,Interaction tasks depend on selecting the correct object and passing the right action parameters.
craft_item:chainmail_helmet,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:chainmail_leggings,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,"Crafting tasks depend on recipe structure, inventory state, and a correct crafting interface."
craft_item:charcoal,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,"Smelting/cooking combines recipe, fuel, station use, and visible furnace/campfire interaction."
