task_name,source,predicted_category,predicted_interfaces,required_information_type,likely_failure_under_fixed_action_space,manual_category,manual_interfaces,confidence,notes
mine_block:mycelium,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:orange_carpet,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:polished_blackstone_bricks,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action;memory_or_prerequisite_reasoning;dynamic_action_space_switching,visual_target_localization;low_level_reactive_control;inventory_or_tool_state,prerequisite_memory_missing,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:purpur_block,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:redstone_block,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action;memory_or_prerequisite_reasoning;dynamic_action_space_switching,visual_target_localization;low_level_reactive_control;inventory_or_tool_state,prerequisite_memory_missing,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:snow,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:stonecutter,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action;memory_or_prerequisite_reasoning;dynamic_action_space_switching,visual_target_localization;low_level_reactive_control;inventory_or_tool_state,prerequisite_memory_missing,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:tripwire,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:white_concrete,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:yellow_wool,CrossAgent/STRL/data_processor/task_suc_rate.json,mining,visual_grounding_or_mask_action;low_level_control;mid_level_skill_action,visual_target_localization;low_level_reactive_control,language_only_target_ambiguous,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft item crafting_table,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,inventory_or_tool_state;visual_target_localization,mid_level_skill_missing_parameter,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:trapped_chest,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,inventory_or_tool_state;visual_target_localization,mid_level_skill_missing_parameter,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
drop:birch_log,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
drop:bucket,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
drop:cornflower,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
drop:enchanted_book,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
drop:gold_nugget,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
drop:gray_wool,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
drop:iron_ore,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
drop:leather_boots,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
drop:minecart,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
drop:oxeye_daisy,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
drop:rabbit_foot,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
drop:shroomlight,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
drop:stone_axe,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
drop:terracotta,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
drop:yellow_dye,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft item carrot_on_a_stick,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,"Plausible from task name, but missing inventory, visual state, and trajectory context."
craft_item:beetroot_soup,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:bone_meal,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:cauldron,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:cut_sandstone,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:experience_bottle,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:golden_boots,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:honeycomb_block,CrossAgent/STRL/data_processor/utils/task_list.json; CrossAgent/STRL/data_processor/task_suc_rate.json; rollout_debug directory names,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:item_frame,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:light_blue_dye,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:note_block,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:polished_andesite,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:red_glazed_terracotta,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:smoker,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:stone_axe,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:warped_fungus_on_a_stick,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
craft_item:yellow_wool,CrossAgent/STRL/data_processor/task_suc_rate.json,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,recipe_or_prerequisite;inventory_or_tool_state,prerequisite_memory_missing,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
build a small shelter,manual_representative_sample,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,high,Representative sample task is human-readable and directly supports the first-pass label.
craft_item:birch_stairs,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:dark_oak_slab,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:light_blue_bed,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:polished_andesite_stairs,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:spruce_planks,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
drop:brown_bed,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
drop:oak_trapdoor,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
mine_block:acacia_stairs,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
mine_block:brown_bed,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
mine_block:dark_oak_trapdoor,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
mine_block:jungle_slab,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
mine_block:oak_fence_gate,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
mine_block:purple_bed,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
mine_block:spruce_fence_gate,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
mine_block:yellow_bed,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:baked_potato,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:charcoal,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
